document_id,source,document_date,city,locality,topic,text,embedding
27,News,2024-11-09,Mumbai,Dutta Extension,Policy/Regulatory Note,"Policy/Regulatory Note for Dutta Extension, Mumbai: connectivity score 59.1, infrastructure score 54.8, development score 51.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
28,News,2026-07-21,Pune,Pathak Enclave,Infrastructure Update,"Infrastructure Update for Pathak Enclave, Pune: connectivity score 28.2, infrastructure score 43.8, development score 48.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
29,Internal Research,2026-05-15,Pune,Pathak Enclave,Infrastructure Update,"Infrastructure Update for Pathak Enclave, Pune: connectivity score 28.2, infrastructure score 43.8, development score 48.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
30,Market Report,2026-04-25,Pune,Pathak Enclave,Developer Report,"Developer Report for Pathak Enclave, Pune: connectivity score 28.2, infrastructure score 43.8, development score 48.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
31,News,2025-05-04,Chennai,Amble Hills,Investment Memo,"Investment Memo for Amble Hills, Chennai: connectivity score 33.8, infrastructure score 90.5, development score 62.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
32,Market Report,2024-12-07,Chennai,Amble Hills,Market Outlook,"Market Outlook for Amble Hills, Chennai: connectivity score 33.8, infrastructure score 90.5, development score 62.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
33,Internal Research,2025-09-29,Chennai,Amble Hills,Developer Report,"Developer Report for Amble Hills, Chennai: connectivity score 33.8, infrastructure score 90.5, development score 62.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
34,News,2025-12-24,Pune,Balay Layout,Locality Deep-Dive,"Locality Deep-Dive for Balay Layout, Pune: connectivity score 69.9, infrastructure score 57.7, development score 70.7. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
35,News,2025-01-10,Pune,Balay Layout,Infrastructure Update,"Infrastructure Update for Balay Layout, Pune: connectivity score 69.9, infrastructure score 57.7, development score 70.7. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
36,Market Report,2025-09-27,Pune,Balay Layout,Locality Deep-Dive,"Locality Deep-Dive for Balay Layout, Pune: connectivity score 69.9, infrastructure score 57.7, development score 70.7. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
37,Internal Research,2025-07-09,Hyderabad,Dugar Layout,Developer Report,"Developer Report for Dugar Layout, Hyderabad: connectivity score 59.2, infrastructure score 48.0, development score 57.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
38,Developer Filing,2025-05-01,Hyderabad,Dugar Layout,Market Outlook,"Market Outlook for Dugar Layout, Hyderabad: connectivity score 59.2, infrastructure score 48.0, development score 57.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
39,News,2025-11-12,Hyderabad,Dugar Layout,Locality Deep-Dive,"Locality Deep-Dive for Dugar Layout, Hyderabad: connectivity score 59.2, infrastructure score 48.0, development score 57.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
40,Internal Research,2026-08-14,Chennai,Mallick Enclave,Investment Memo,"Investment Memo for Mallick Enclave, Chennai: connectivity score 73.6, infrastructure score 28.4, development score 61.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
41,Internal Research,2025-05-04,Chennai,Mallick Enclave,Investment Memo,"Investment Memo for Mallick Enclave, Chennai: connectivity score 73.6, infrastructure score 28.4, development score 61.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
42,Developer Filing,2024-12-29,Chennai,Mallick Enclave,Developer Report,"Developer Report for Mallick Enclave, Chennai: connectivity score 73.6, infrastructure score 28.4, development score 61.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
43,Internal Research,2025-07-27,Mumbai,Dugal Gardens,Investment Memo,"Investment Memo for Dugal Gardens, Mumbai: connectivity score 76.5, infrastructure score 39.3, development score 61.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
44,Developer Filing,2025-07-07,Mumbai,Dugal Gardens,Investment Memo,"Investment Memo for Dugal Gardens, Mumbai: connectivity score 76.5, infrastructure score 39.3, development score 61.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
45,Developer Filing,2026-07-29,Mumbai,Dugal Gardens,Locality Deep-Dive,"Locality Deep-Dive for Dugal Gardens, Mumbai: connectivity score 76.5, infrastructure score 39.3, development score 61.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
46,News,2025-12-18,Mumbai,Balay Hills,Developer Report,"Developer Report for Balay Hills, Mumbai: connectivity score 48.0, infrastructure score 62.4, development score 66.9. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
47,News,2025-09-27,Mumbai,Balay Hills,Policy/Regulatory Note,"Policy/Regulatory Note for Balay Hills, Mumbai: connectivity score 48.0, infrastructure score 62.4, development score 66.9. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
48,Developer Filing,2026-08-06,Mumbai,Balay Hills,Developer Report,"Developer Report for Balay Hills, Mumbai: connectivity score 48.0, infrastructure score 62.4, development score 66.9. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
49,Developer Filing,2024-12-19,Bengaluru,Yadav Hills,Market Outlook,"Market Outlook for Yadav Hills, Bengaluru: connectivity score 44.5, infrastructure score 46.1, development score 61.8. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
50,News,2025-11-28,Bengaluru,Yadav Hills,Infrastructure Update,"Infrastructure Update for Yadav Hills, Bengaluru: connectivity score 44.5, infrastructure score 46.1, development score 61.8. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
51,Developer Filing,2026-05-16,Bengaluru,Yadav Hills,Infrastructure Update,"Infrastructure Update for Yadav Hills, Bengaluru: connectivity score 44.5, infrastructure score 46.1, development score 61.8. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
52,Developer Filing,2026-02-13,Bengaluru,Pant Layout,Policy/Regulatory Note,"Policy/Regulatory Note for Pant Layout, Bengaluru: connectivity score 61.4, infrastructure score 93.7, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
53,News,2025-07-16,Bengaluru,Pant Layout,Locality Deep-Dive,"Locality Deep-Dive for Pant Layout, Bengaluru: connectivity score 61.4, infrastructure score 93.7, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
54,Market Report,2025-01-14,Bengaluru,Pant Layout,Locality Deep-Dive,"Locality Deep-Dive for Pant Layout, Bengaluru: connectivity score 61.4, infrastructure score 93.7, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
55,News,2026-01-17,Hyderabad,Bhatt Layout,Investment Memo,"Investment Memo for Bhatt Layout, Hyderabad: connectivity score 39.4, infrastructure score 59.0, development score 46.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
56,Internal Research,2024-12-05,Hyderabad,Bhatt Layout,Market Outlook,"Market Outlook for Bhatt Layout, Hyderabad: connectivity score 39.4, infrastructure score 59.0, development score 46.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
57,Developer Filing,2025-04-07,Hyderabad,Bhatt Layout,Infrastructure Update,"Infrastructure Update for Bhatt Layout, Hyderabad: connectivity score 39.4, infrastructure score 59.0, development score 46.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
58,Market Report,2025-06-30,Delhi NCR,Edwin Nagar,Policy/Regulatory Note,"Policy/Regulatory Note for Edwin Nagar, Delhi NCR: connectivity score 67.5, infrastructure score 61.6, development score 65.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
59,Developer Filing,2025-09-07,Delhi NCR,Edwin Nagar,Policy/Regulatory Note,"Policy/Regulatory Note for Edwin Nagar, Delhi NCR: connectivity score 67.5, infrastructure score 61.6, development score 65.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
60,News,2025-07-15,Delhi NCR,Edwin Nagar,Market Outlook,"Market Outlook for Edwin Nagar, Delhi NCR: connectivity score 67.5, infrastructure score 61.6, development score 65.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
61,Internal Research,2026-05-12,Delhi NCR,Kakar Extension,Policy/Regulatory Note,"Policy/Regulatory Note for Kakar Extension, Delhi NCR: connectivity score 61.3, infrastructure score 55.1, development score 56.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
62,Internal Research,2024-10-02,Delhi NCR,Kakar Extension,Locality Deep-Dive,"Locality Deep-Dive for Kakar Extension, Delhi NCR: connectivity score 61.3, infrastructure score 55.1, development score 56.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
63,Internal Research,2025-04-05,Delhi NCR,Kakar Extension,Infrastructure Update,"Infrastructure Update for Kakar Extension, Delhi NCR: connectivity score 61.3, infrastructure score 55.1, development score 56.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
64,News,2026-03-29,Delhi NCR,Biswas Nagar,Developer Report,"Developer Report for Biswas Nagar, Delhi NCR: connectivity score 69.2, infrastructure score 39.7, development score 67.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
65,Developer Filing,2026-03-09,Delhi NCR,Biswas Nagar,Policy/Regulatory Note,"Policy/Regulatory Note for Biswas Nagar, Delhi NCR: connectivity score 69.2, infrastructure score 39.7, development score 67.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
66,News,2025-05-06,Delhi NCR,Biswas Nagar,Policy/Regulatory Note,"Policy/Regulatory Note for Biswas Nagar, Delhi NCR: connectivity score 69.2, infrastructure score 39.7, development score 67.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
67,Market Report,2026-07-23,Chennai,Varughese Nagar,Investment Memo,"Investment Memo for Varughese Nagar, Chennai: connectivity score 85.8, infrastructure score 12.1, development score 45.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
68,News,2024-10-04,Chennai,Varughese Nagar,Infrastructure Update,"Infrastructure Update for Varughese Nagar, Chennai: connectivity score 85.8, infrastructure score 12.1, development score 45.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
69,Developer Filing,2024-10-08,Chennai,Varughese Nagar,Policy/Regulatory Note,"Policy/Regulatory Note for Varughese Nagar, Chennai: connectivity score 85.8, infrastructure score 12.1, development score 45.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
70,News,2026-07-12,Pune,Garg Enclave,Investment Memo,"Investment Memo for Garg Enclave, Pune: connectivity score 62.0, infrastructure score 61.1, development score 62.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
71,News,2025-09-18,Pune,Garg Enclave,Policy/Regulatory Note,"Policy/Regulatory Note for Garg Enclave, Pune: connectivity score 62.0, infrastructure score 61.1, development score 62.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
72,Developer Filing,2026-01-28,Pune,Garg Enclave,Infrastructure Update,"Infrastructure Update for Garg Enclave, Pune: connectivity score 62.0, infrastructure score 61.1, development score 62.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
73,Internal Research,2025-07-06,Pune,Kanda Gardens,Infrastructure Update,"Infrastructure Update for Kanda Gardens, Pune: connectivity score 76.2, infrastructure score 71.0, development score 71.3. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
74,Internal Research,2025-01-25,Pune,Kanda Gardens,Infrastructure Update,"Infrastructure Update for Kanda Gardens, Pune: connectivity score 76.2, infrastructure score 71.0, development score 71.3. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
75,Developer Filing,2026-03-27,Pune,Kanda Gardens,Infrastructure Update,"Infrastructure Update for Kanda Gardens, Pune: connectivity score 76.2, infrastructure score 71.0, development score 71.3. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
76,Developer Filing,2026-06-04,Mumbai,Oak Hills,Policy/Regulatory Note,"Policy/Regulatory Note for Oak Hills, Mumbai: connectivity score 36.2, infrastructure score 59.5, development score 54.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
77,Internal Research,2025-04-23,Mumbai,Oak Hills,Market Outlook,"Market Outlook for Oak Hills, Mumbai: connectivity score 36.2, infrastructure score 59.5, development score 54.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
78,Developer Filing,2025-01-03,Mumbai,Oak Hills,Infrastructure Update,"Infrastructure Update for Oak Hills, Mumbai: connectivity score 36.2, infrastructure score 59.5, development score 54.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
79,Market Report,2025-03-30,Delhi NCR,Khatri Extension,Market Outlook,"Market Outlook for Khatri Extension, Delhi NCR: connectivity score 57.7, infrastructure score 67.3, development score 67.9. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
80,Developer Filing,2024-10-30,Delhi NCR,Khatri Extension,Infrastructure Update,"Infrastructure Update for Khatri Extension, Delhi NCR: connectivity score 57.7, infrastructure score 67.3, development score 67.9. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
81,Internal Research,2024-11-25,Delhi NCR,Khatri Extension,Market Outlook,"Market Outlook for Khatri Extension, Delhi NCR: connectivity score 57.7, infrastructure score 67.3, development score 67.9. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
82,News,2025-11-12,Delhi NCR,Khosla Hills,Market Outlook,"Market Outlook for Khosla Hills, Delhi NCR: connectivity score 61.0, infrastructure score 42.4, development score 53.4. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
83,Market Report,2025-09-04,Delhi NCR,Khosla Hills,Locality Deep-Dive,"Locality Deep-Dive for Khosla Hills, Delhi NCR: connectivity score 61.0, infrastructure score 42.4, development score 53.4. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
84,News,2025-10-30,Delhi NCR,Khosla Hills,Developer Report,"Developer Report for Khosla Hills, Delhi NCR: connectivity score 61.0, infrastructure score 42.4, development score 53.4. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
85,Internal Research,2025-09-04,Pune,Gade Extension,Locality Deep-Dive,"Locality Deep-Dive for Gade Extension, Pune: connectivity score 62.7, infrastructure score 70.6, development score 62.4. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
86,Internal Research,2025-01-26,Pune,Gade Extension,Market Outlook,"Market Outlook for Gade Extension, Pune: connectivity score 62.7, infrastructure score 70.6, development score 62.4. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
87,Developer Filing,2026-04-22,Pune,Gade Extension,Market Outlook,"Market Outlook for Gade Extension, Pune: connectivity score 62.7, infrastructure score 70.6, development score 62.4. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
88,Developer Filing,2024-11-27,Chennai,Prakash Gardens,Market Outlook,"Market Outlook for Prakash Gardens, Chennai: connectivity score 68.0, infrastructure score 57.4, development score 58.4. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
89,Developer Filing,2025-02-22,Chennai,Prakash Gardens,Developer Report,"Developer Report for Prakash Gardens, Chennai: connectivity score 68.0, infrastructure score 57.4, development score 58.4. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
90,News,2025-08-27,Chennai,Prakash Gardens,Investment Memo,"Investment Memo for Prakash Gardens, Chennai: connectivity score 68.0, infrastructure score 57.4, development score 58.4. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
91,Internal Research,2025-01-09,Mumbai,Mall Enclave,Policy/Regulatory Note,"Policy/Regulatory Note for Mall Enclave, Mumbai: connectivity score 54.5, infrastructure score 54.1, development score 59.1. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
92,Developer Filing,2025-03-21,Mumbai,Mall Enclave,Locality Deep-Dive,"Locality Deep-Dive for Mall Enclave, Mumbai: connectivity score 54.5, infrastructure score 54.1, development score 59.1. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
93,Developer Filing,2026-02-09,Mumbai,Mall Enclave,Infrastructure Update,"Infrastructure Update for Mall Enclave, Mumbai: connectivity score 54.5, infrastructure score 54.1, development score 59.1. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
94,Developer Filing,2024-12-01,Delhi NCR,Chada Gardens,Market Outlook,"Market Outlook for Chada Gardens, Delhi NCR: connectivity score 40.5, infrastructure score 65.1, development score 59.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
95,Developer Filing,2025-12-29,Delhi NCR,Chada Gardens,Investment Memo,"Investment Memo for Chada Gardens, Delhi NCR: connectivity score 40.5, infrastructure score 65.1, development score 59.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
96,Internal Research,2026-06-13,Delhi NCR,Chada Gardens,Policy/Regulatory Note,"Policy/Regulatory Note for Chada Gardens, Delhi NCR: connectivity score 40.5, infrastructure score 65.1, development score 59.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
97,Developer Filing,2024-11-15,Mumbai,Chander Gardens,Investment Memo,"Investment Memo for Chander Gardens, Mumbai: connectivity score 70.0, infrastructure score 77.6, development score 57.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
98,Developer Filing,2026-08-05,Mumbai,Chander Gardens,Developer Report,"Developer Report for Chander Gardens, Mumbai: connectivity score 70.0, infrastructure score 77.6, development score 57.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
99,Internal Research,2026-07-16,Mumbai,Chander Gardens,Locality Deep-Dive,"Locality Deep-Dive for Chander Gardens, Mumbai: connectivity score 70.0, infrastructure score 77.6, development score 57.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
100,Internal Research,2025-02-09,Pune,Koshy Layout,Locality Deep-Dive,"Locality Deep-Dive for Koshy Layout, Pune: connectivity score 80.5, infrastructure score 27.4, development score 59.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
101,Internal Research,2024-12-11,Pune,Koshy Layout,Developer Report,"Developer Report for Koshy Layout, Pune: connectivity score 80.5, infrastructure score 27.4, development score 59.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
102,News,2025-04-23,Pune,Koshy Layout,Market Outlook,"Market Outlook for Koshy Layout, Pune: connectivity score 80.5, infrastructure score 27.4, development score 59.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
103,Market Report,2025-12-21,Hyderabad,Choudhary Gardens,Investment Memo,"Investment Memo for Choudhary Gardens, Hyderabad: connectivity score 61.3, infrastructure score 77.5, development score 67.7. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
104,Internal Research,2026-07-02,Hyderabad,Choudhary Gardens,Locality Deep-Dive,"Locality Deep-Dive for Choudhary Gardens, Hyderabad: connectivity score 61.3, infrastructure score 77.5, development score 67.7. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
105,Internal Research,2026-03-27,Hyderabad,Choudhary Gardens,Market Outlook,"Market Outlook for Choudhary Gardens, Hyderabad: connectivity score 61.3, infrastructure score 77.5, development score 67.7. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
106,Internal Research,2025-07-28,Bengaluru,Padmanabhan Enclave,Policy/Regulatory Note,"Policy/Regulatory Note for Padmanabhan Enclave, Bengaluru: connectivity score 74.3, infrastructure score 81.9, development score 67.0. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
107,News,2024-12-08,Bengaluru,Padmanabhan Enclave,Infrastructure Update,"Infrastructure Update for Padmanabhan Enclave, Bengaluru: connectivity score 74.3, infrastructure score 81.9, development score 67.0. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
108,Internal Research,2026-03-30,Bengaluru,Padmanabhan Enclave,Developer Report,"Developer Report for Padmanabhan Enclave, Bengaluru: connectivity score 74.3, infrastructure score 81.9, development score 67.0. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
109,Developer Filing,2025-03-15,Hyderabad,Devi Extension,Policy/Regulatory Note,"Policy/Regulatory Note for Devi Extension, Hyderabad: connectivity score 58.2, infrastructure score 71.2, development score 64.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
110,News,2025-09-22,Hyderabad,Devi Extension,Investment Memo,"Investment Memo for Devi Extension, Hyderabad: connectivity score 58.2, infrastructure score 71.2, development score 64.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
111,Developer Filing,2026-08-15,Hyderabad,Devi Extension,Locality Deep-Dive,"Locality Deep-Dive for Devi Extension, Hyderabad: connectivity score 58.2, infrastructure score 71.2, development score 64.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
