project_id,developer_id,locality_id,project_name,project_type,launch_date,completion_date,total_units,units_sold,units_available,project_status
36,28,35,Dugal Towers,Residential,2024-09-18,2027-01-27,172,168,4,Under Construction
37,5,56,Kade Towers,Villa Community,2022-02-17,2024-06-22,414,322,92,Under Construction
38,28,51,Jani Towers,Residential,2024-07-30,2026-08-27,252,187,65,Completed
39,25,39,Lalla Vista,Residential,2024-05-31,2026-11-01,512,461,51,Completed
40,35,28,Krishnamurthy Residency,Residential,2023-05-31,2024-07-06,592,574,18,Nearing Completion
41,36,82,Behl Greens,Residential,2025-08-11,2026-09-23,108,87,21,Completed
42,11,41,Sampath Heights,Villa Community,2021-02-20,2024-03-14,262,215,47,Under Construction
43,12,62,Basu Vista,Residential,2025-03-12,2029-01-17,397,334,63,Under Construction
44,24,90,De Enclave,Residential,2020-08-26,2023-03-31,110,88,22,Completed
45,11,85,Lala Greens,Villa Community,2024-02-19,2025-09-27,417,337,80,Under Construction
46,13,30,Sathe Towers,Residential,2021-07-09,2024-07-02,588,574,14,Completed
47,19,67,Sane Residency,Residential,2023-09-01,2026-07-08,526,419,107,Completed
48,5,25,Choudhury Greens,Residential,2023-09-19,2025-05-12,408,301,107,Completed
49,7,24,Dixit Residency,Residential,2021-01-17,2023-02-02,129,94,35,Nearing Completion
50,38,38,Pingle Residency,Residential,2023-08-20,2026-12-23,357,304,53,Completed
51,2,83,Divan Greens,Mixed-Use,2023-11-02,2027-02-16,558,516,42,Completed
52,34,3,Barman Enclave,Residential,2022-12-30,2026-06-12,107,91,16,Under Construction
53,12,87,Baral Greens,Residential,2022-04-30,2025-03-20,381,234,147,Under Construction
54,18,39,Kade Heights,Residential,2025-07-29,2027-09-10,167,143,24,Under Construction
55,38,23,Chauhan Heights,Residential,2024-05-20,2027-04-23,465,460,5,Under Construction
56,36,50,Ray Heights,Residential,2022-07-30,2024-08-06,252,175,77,Under Construction
57,24,18,Dubey Meadows,Villa Community,2025-12-27,2028-05-31,260,238,22,Under Construction
58,33,86,Khalsa Vista,Residential,2025-09-21,2027-04-23,44,37,7,Nearing Completion
59,8,79,Goel Towers,Residential,2025-05-21,2028-05-06,252,204,48,Completed
60,28,5,Bakshi Towers,Villa Community,2025-06-24,2027-04-01,199,141,58,Completed
61,34,25,Natarajan Greens,Residential,2021-08-14,2024-05-11,90,65,25,Under Construction
62,36,85,Sabharwal Heights,Mixed-Use,2024-12-07,2026-06-23,421,398,23,Under Construction
63,38,3,Kothari Enclave,Residential,2025-01-16,2026-12-05,484,353,131,Under Construction
64,27,76,Chokshi Vista,Residential,2022-02-06,2024-12-30,572,381,191,Completed
65,38,36,Barad Residency,Mixed-Use,2022-09-26,2025-07-06,484,335,149,Nearing Completion
66,1,47,Kapadia Greens,Residential,2025-05-09,2027-05-30,172,159,13,Completed
67,29,12,Sharma Heights,Residential,2021-09-23,2025-04-12,415,310,105,Completed
68,7,88,Kari Heights,Residential,2022-07-22,2024-01-21,452,437,15,Completed
69,4,32,Hans Towers,Residential,2021-11-09,2023-05-23,214,131,83,Under Construction
70,40,81,Mallick Heights,Residential,2022-10-28,2025-08-08,318,221,97,Completed
71,31,32,Mallick Towers,Villa Community,2025-05-21,2028-05-30,287,282,5,Under Construction
72,5,71,Upadhyay Heights,Villa Community,2022-07-25,2023-11-16,445,314,131,Completed
73,15,15,Yadav Residency,Residential,2022-10-30,2024-08-15,401,249,152,Under Construction
74,14,71,Bala Heights,Residential,2022-06-15,2023-08-30,330,261,69,Under Construction
75,31,22,Lal Meadows,Residential,2021-04-07,2024-03-07,191,188,3,Under Construction
76,21,20,Lanka Heights,Residential,2021-08-12,2024-08-14,596,566,30,Nearing Completion
77,2,63,Saraf Greens,Residential,2020-11-03,2023-03-06,226,167,59,Completed
78,1,65,Murthy Enclave,Residential,2022-07-14,2024-02-19,340,282,58,Nearing Completion
79,36,84,Vaidya Enclave,Residential,2023-01-12,2024-01-13,208,145,63,Under Construction
80,21,58,Gupta Meadows,Residential,2021-04-08,2022-09-21,595,520,75,Completed
81,38,80,Sarin Greens,Mixed-Use,2022-01-12,2023-04-23,183,151,32,Completed
82,9,36,Yohannan Residency,Residential,2020-08-22,2023-10-07,60,52,8,Under Construction
83,8,13,Hegde Towers,Residential,2024-05-29,2026-07-20,233,193,40,Completed
84,28,88,Boase Towers,Mixed-Use,2022-08-20,2025-06-07,328,227,101,Completed
85,2,73,Narayanan Enclave,Mixed-Use,2025-11-07,2028-07-19,258,139,119,Under Construction
86,29,80,Dash Enclave,Residential,2024-01-22,2027-09-09,526,381,145,Under Construction
87,26,57,Mital Heights,Residential,2024-08-03,2028-01-16,220,206,14,Nearing Completion
88,34,34,Rege Enclave,Mixed-Use,2023-06-03,2027-03-09,312,272,40,Nearing Completion
89,36,84,Merchant Heights,Residential,2022-06-05,2024-05-17,573,431,142,Under Construction
90,8,87,Handa Meadows,Mixed-Use,2023-09-06,2025-01-31,579,535,44,Under Construction
91,1,56,Raghavan Vista,Residential,2022-12-11,2025-09-21,564,484,80,Under Construction
92,4,54,Ghosh Towers,Residential,2024-05-10,2027-03-19,404,312,92,Completed
93,33,28,Mitra Vista,Residential,2024-01-07,2025-08-04,158,156,2,Nearing Completion
94,9,70,Acharya Residency,Mixed-Use,2022-11-12,2024-07-30,119,97,22,Under Construction
95,8,86,Kade Residency,Residential,2022-04-21,2023-11-01,427,404,23,Under Construction
96,13,18,Nagy Enclave,Residential,2022-12-30,2024-07-07,407,376,31,Under Construction
97,35,69,Sathe Meadows,Residential,2023-03-11,2026-11-05,291,208,83,Under Construction
98,3,38,Vaidya Vista,Residential,2024-05-07,2026-07-04,579,391,188,Completed
99,25,71,Gara Vista,Residential,2023-03-27,2024-04-16,185,145,40,Under Construction
100,20,58,Mander Greens,Mixed-Use,2024-04-03,2027-10-03,392,298,94,Nearing Completion
101,22,51,Nayak Meadows,Residential,2023-06-20,2025-12-05,101,58,43,Under Construction
102,37,12,Keer Meadows,Residential,2021-02-22,2022-07-11,524,518,6,Nearing Completion
103,27,50,Kar Residency,Villa Community,2024-05-01,2027-03-04,521,362,159,Completed
104,9,28,Din Meadows,Residential,2025-01-25,2027-01-05,425,366,59,Under Construction
105,23,14,Konda Vista,Residential,2020-10-07,2024-07-21,181,155,26,Nearing Completion
106,23,63,Bora Meadows,Residential,2026-01-16,2028-12-13,383,344,39,Nearing Completion
107,2,40,Hayer Residency,Residential,2023-02-19,2024-06-13,593,464,129,Completed
108,38,3,Rajagopalan Residency,Villa Community,2024-08-01,2027-12-27,99,79,20,Completed
109,30,57,Kohli Vista,Mixed-Use,2023-05-09,2025-05-29,206,193,13,Under Construction
110,33,23,Ahluwalia Enclave,Mixed-Use,2021-06-11,2023-09-05,347,275,72,Under Construction
111,40,16,Chhabra Heights,Residential,2025-07-17,2026-08-08,86,67,19,Under Construction
112,12,34,Kanda Residency,Residential,2024-11-29,2026-09-04,185,180,5,Completed
113,16,36,Vasa Heights,Residential,2021-08-07,2022-09-21,582,392,190,Completed
114,38,26,Krish Meadows,Residential,2023-03-10,2026-06-06,494,442,52,Under Construction
115,10,40,Dara Enclave,Residential,2025-09-05,2027-01-04,375,332,43,Completed
116,11,61,Shetty Greens,Residential,2023-02-22,2026-12-20,174,126,48,Completed
117,24,19,Nadig Vista,Mixed-Use,2024-04-21,2025-05-04,595,361,234,Nearing Completion
118,23,14,Savant Greens,Villa Community,2025-11-09,2027-08-12,462,423,39,Completed
119,11,10,Thaman Enclave,Villa Community,2024-01-01,2026-09-02,141,112,29,Nearing Completion
120,21,32,Sehgal Greens,Residential,2022-12-24,2024-02-09,132,109,23,Under Construction
121,16,48,Soman Enclave,Residential,2025-07-26,2029-06-16,313,215,98,Completed
122,22,5,Kota Towers,Residential,2023-02-09,2025-08-18,206,140,66,Under Construction
123,21,61,Malhotra Heights,Residential,2025-04-02,2027-12-25,531,391,140,Under Construction
124,29,14,Verma Towers,Residential,2024-11-04,2028-01-08,595,387,208,Nearing Completion
125,34,75,Khare Towers,Residential,2023-04-19,2024-11-27,350,314,36,Under Construction
126,26,47,Brahmbhatt Heights,Mixed-Use,2022-02-21,2024-10-02,333,329,4,Under Construction
127,34,48,Keer Towers,Mixed-Use,2024-07-22,2027-10-16,153,128,25,Nearing Completion
128,16,86,Nagarajan Heights,Residential,2022-02-15,2024-07-13,321,232,89,Completed
129,8,51,Buch Greens,Residential,2025-07-18,2028-09-15,536,361,175,Under Construction
130,11,57,Kashyap Meadows,Mixed-Use,2021-05-23,2022-06-23,133,126,7,Under Construction
131,2,11,Dua Heights,Residential,2022-09-27,2025-07-02,309,224,85,Completed
132,12,37,Bhatt Heights,Residential,2024-07-08,2027-04-29,418,357,61,Under Construction
133,32,74,Narayanan Meadows,Mixed-Use,2022-11-30,2024-11-16,396,330,66,Completed
134,32,54,Sagar Greens,Residential,2023-08-14,2026-12-24,329,247,82,Under Construction
135,26,35,Salvi Towers,Mixed-Use,2020-12-22,2023-04-11,89,85,4,Completed
136,16,20,Bahri Enclave,Residential,2022-10-10,2024-09-01,137,78,59,Completed
137,27,26,Rai Residency,Villa Community,2025-05-06,2026-09-12,269,184,85,Under Construction
138,19,44,Pandey Towers,Residential,2023-04-04,2025-12-13,588,561,27,Under Construction
139,18,17,Ramakrishnan Greens,Residential,2022-04-10,2025-10-06,192,110,82,Nearing Completion
140,12,2,Saini Greens,Residential,2025-04-29,2026-12-31,251,211,40,Completed
141,17,11,Kannan Vista,Residential,2023-08-05,2027-05-27,435,287,148,Completed
142,28,31,Mahajan Enclave,Residential,2023-04-26,2026-07-02,468,399,69,Under Construction
143,33,49,Balakrishnan Meadows,Residential,2023-01-11,2025-03-22,556,437,119,Under Construction
144,8,83,Ravel Enclave,Residential,2022-10-09,2024-08-05,194,163,31,Under Construction
145,14,71,Sibal Meadows,Residential,2024-08-12,2027-11-21,291,168,123,Completed
146,30,83,Walla Towers,Residential,2025-09-09,2027-09-22,216,184,32,Nearing Completion
147,14,7,Ramesh Vista,Residential,2020-10-12,2021-11-04,411,277,134,Nearing Completion
148,1,83,Bala Greens,Villa Community,2023-11-21,2027-04-01,389,366,23,Under Construction
149,1,78,Sangha Residency,Villa Community,2021-02-03,2024-01-20,150,109,41,Nearing Completion
150,32,9,Shenoy Greens,Residential,2021-05-18,2022-12-04,52,51,1,Under Construction
151,11,49,Lad Heights,Residential,2021-08-19,2025-03-07,354,246,108,Completed
152,35,22,Kakar Heights,Residential,2022-09-19,2026-02-01,347,273,74,Completed
153,10,26,Nazareth Towers,Residential,2023-02-18,2025-08-01,132,114,18,Completed
154,9,6,Raghavan Meadows,Residential,2024-10-26,2026-01-02,327,323,4,Nearing Completion
155,40,21,Sama Heights,Residential,2022-03-01,2025-07-17,318,271,47,Completed
156,9,74,Bumb Greens,Residential,2022-01-07,2024-07-28,154,116,38,Under Construction
157,16,59,Zacharia Residency,Residential,2023-03-21,2024-12-24,570,491,79,Under Construction
158,23,71,Palla Residency,Residential,2020-12-01,2023-04-23,549,471,78,Completed
159,17,76,Biswas Greens,Villa Community,2021-11-12,2023-12-24,292,190,102,Under Construction
160,35,75,Baria Meadows,Mixed-Use,2024-12-05,2027-07-01,200,149,51,Under Construction
161,15,26,Kota Enclave,Mixed-Use,2024-10-12,2026-09-19,399,211,188,Under Construction
162,10,1,Bahri Heights,Residential,2021-09-23,2025-04-18,547,530,17,Completed
163,40,55,Khare Towers,Residential,2024-01-19,2026-11-03,58,51,7,Completed
164,35,88,Contractor Residency,Mixed-Use,2021-04-29,2025-03-23,519,370,149,Completed
165,24,7,Kamdar Enclave,Villa Community,2023-09-26,2027-08-20,273,174,99,Completed
166,2,44,Kunda Towers,Residential,2023-03-11,2024-07-30,424,372,52,Completed
167,6,87,Ganesh Greens,Residential,2024-11-06,2028-07-07,84,62,22,Nearing Completion
168,1,73,Contractor Residency,Residential,2023-12-19,2025-04-18,465,421,44,Nearing Completion
169,37,67,Gade Meadows,Residential,2024-11-28,2027-04-14,240,230,10,Under Construction
170,40,51,Chokshi Residency,Residential,2025-12-09,2027-04-11,88,69,19,Under Construction
171,17,65,Muni Enclave,Residential,2023-10-25,2025-11-08,292,223,69,Nearing Completion
172,18,59,Prashad Residency,Residential,2023-10-19,2027-04-29,182,157,25,Completed
173,2,2,Issac Vista,Residential,2022-10-24,2024-10-13,424,332,92,Completed
174,31,42,Kibe Enclave,Residential,2021-01-18,2024-02-17,327,295,32,Under Construction
175,36,66,Mitra Residency,Mixed-Use,2021-03-11,2024-06-23,268,208,60,Completed
176,15,8,Dara Residency,Mixed-Use,2025-04-23,2028-04-20,185,147,38,Under Construction
177,39,90,Barman Greens,Residential,2025-01-04,2026-07-08,258,149,109,Under Construction
178,35,34,Sangha Meadows,Residential,2022-07-17,2026-06-20,102,76,26,Completed
179,34,30,Biswas Enclave,Villa Community,2024-04-08,2025-05-07,581,519,62,Completed
180,1,34,Om Vista,Residential,2023-06-01,2026-10-29,50,41,9,Completed
181,38,60,Salvi Enclave,Residential,2020-09-13,2023-08-01,338,217,121,Under Construction
182,24,21,Cherian Residency,Residential,2025-02-26,2026-12-11,65,60,5,Under Construction
183,3,75,Pathak Meadows,Residential,2023-01-06,2025-10-22,206,186,20,Nearing Completion
184,32,8,Sharaf Enclave,Mixed-Use,2024-02-16,2027-10-03,225,162,63,Under Construction
185,27,56,Saran Greens,Residential,2024-07-09,2025-10-03,174,126,48,Under Construction
186,14,38,Vig Residency,Villa Community,2021-08-07,2024-01-23,453,342,111,Completed
187,7,46,Madan Vista,Residential,2025-12-10,2029-06-05,532,508,24,Nearing Completion
188,7,77,Yohannan Towers,Mixed-Use,2024-01-08,2026-05-30,117,115,2,Completed
189,25,23,Shroff Meadows,Residential,2024-11-22,2027-09-17,393,389,4,Under Construction
190,32,48,Loyal Towers,Residential,2023-01-11,2024-09-23,480,430,50,Nearing Completion
191,22,34,Korpal Enclave,Mixed-Use,2022-05-28,2025-03-15,456,451,5,Under Construction
192,2,64,Chadha Towers,Residential,2025-03-14,2026-04-26,378,315,63,Under Construction
193,35,71,Seshadri Towers,Residential,2022-03-02,2026-01-28,225,138,87,Completed
194,37,29,Shetty Residency,Residential,2021-12-21,2024-09-27,340,277,63,Under Construction
195,16,29,Raghavan Residency,Residential,2023-10-07,2024-11-15,100,83,17,Under Construction
196,13,61,Talwar Greens,Residential,2022-06-25,2023-08-12,195,135,60,Nearing Completion
197,16,1,Gopal Towers,Residential,2025-04-24,2027-11-27,532,345,187,Completed
198,3,9,Pant Meadows,Residential,2023-04-25,2027-02-05,132,107,25,Nearing Completion
199,18,86,Oak Heights,Villa Community,2025-01-07,2028-01-11,184,110,74,Nearing Completion
200,9,73,Majumdar Vista,Residential,2022-03-03,2023-03-04,396,352,44,Nearing Completion
201,37,20,Varughese Residency,Residential,2023-09-09,2024-10-22,528,470,58,Under Construction
202,1,67,Chada Meadows,Villa Community,2025-11-05,2027-03-17,274,210,64,Completed
203,35,56,Ray Heights,Residential,2021-12-16,2023-12-02,459,450,9,Completed
204,40,73,Khosla Enclave,Residential,2023-04-27,2024-05-07,396,254,142,Under Construction
205,5,9,Swaminathan Towers,Residential,2024-06-06,2025-12-11,397,314,83,Under Construction
206,36,50,Badal Towers,Residential,2023-02-05,2024-02-17,276,237,39,Under Construction
207,6,45,Kant Residency,Residential,2021-02-21,2023-05-04,549,402,147,Completed
208,8,28,Kohli Heights,Residential,2022-11-09,2026-05-22,427,405,22,Under Construction
209,22,5,Pillay Towers,Residential,2022-04-26,2024-12-10,522,330,192,Completed
210,25,3,Wali Towers,Residential,2023-03-27,2026-07-05,95,90,5,Under Construction
211,2,74,Narayanan Meadows,Residential,2022-07-10,2025-04-28,435,303,132,Under Construction
212,4,60,Setty Meadows,Residential,2022-07-26,2026-03-26,233,181,52,Completed
213,25,12,Krishnamurthy Towers,Residential,2022-02-14,2024-04-03,43,41,2,Completed
214,37,50,Hans Meadows,Residential,2021-11-25,2024-09-18,244,174,70,Completed
215,11,50,Wason Greens,Residential,2022-05-14,2023-09-06,133,103,30,Under Construction
216,40,10,Goyal Heights,Residential,2025-11-11,2026-12-14,257,207,50,Under Construction
217,10,49,Sule Greens,Villa Community,2021-09-07,2023-02-15,313,270,43,Under Construction
218,8,65,Vohra Meadows,Residential,2022-02-25,2025-10-24,377,288,89,Under Construction
219,9,83,Chaudhry Greens,Mixed-Use,2023-11-30,2026-09-24,124,122,2,Nearing Completion
220,7,4,Minhas Greens,Residential,2025-03-18,2027-07-13,209,143,66,Under Construction
221,3,48,Gola Towers,Residential,2021-11-19,2023-11-28,191,158,33,Completed
222,33,34,Walla Heights,Residential,2022-04-18,2026-04-16,124,113,11,Completed
223,10,10,Bath Heights,Residential,2021-04-30,2025-04-22,532,523,9,Completed
224,38,9,Master Greens,Residential,2025-12-28,2027-06-08,517,502,15,Under Construction
225,8,74,Date Meadows,Residential,2024-06-20,2028-05-10,549,457,92,Completed
226,15,26,Swaminathan Meadows,Residential,2024-02-21,2026-10-14,72,70,2,Under Construction
227,33,16,Arora Meadows,Mixed-Use,2021-03-13,2025-02-06,571,399,172,Completed
228,10,28,Singh Residency,Residential,2023-10-16,2025-11-29,200,189,11,Completed
229,36,58,Oak Greens,Villa Community,2023-04-07,2026-01-29,554,467,87,Completed
230,12,26,Behl Meadows,Mixed-Use,2021-08-24,2025-02-15,468,357,111,Completed
231,30,79,Sridhar Vista,Mixed-Use,2022-01-08,2026-01-02,73,53,20,Completed
232,28,55,Bhattacharyya Vista,Residential,2021-04-05,2023-10-15,390,285,105,Completed
233,13,67,Borah Enclave,Residential,2022-11-02,2026-08-15,57,44,13,Nearing Completion
234,9,14,Bera Enclave,Villa Community,2023-10-22,2025-10-21,450,396,54,Under Construction
235,29,10,Modi Vista,Residential,2021-06-19,2025-06-15,419,272,147,Under Construction
236,39,73,Kothari Greens,Mixed-Use,2021-02-06,2023-12-31,78,62,16,Completed
237,3,3,Saha Vista,Residential,2021-04-13,2024-04-03,469,413,56,Under Construction
238,2,64,Kara Enclave,Residential,2023-12-20,2026-03-10,267,248,19,Completed
239,32,15,Rai Heights,Mixed-Use,2024-11-24,2027-10-17,363,269,94,Completed
240,13,74,Savant Greens,Residential,2023-02-10,2024-04-04,80,62,18,Under Construction
241,20,65,Sanghvi Vista,Villa Community,2022-04-08,2025-11-08,264,163,101,Under Construction
242,39,77,Bhasin Residency,Residential,2022-04-24,2024-09-26,166,107,59,Under Construction
243,11,56,Chaudhary Vista,Residential,2023-12-26,2025-08-17,273,211,62,Completed
244,28,47,Johal Meadows,Residential,2025-11-04,2028-08-06,389,353,36,Completed
245,1,7,Lalla Enclave,Residential,2024-01-27,2026-06-17,171,133,38,Under Construction
246,39,14,Dugar Vista,Residential,2024-04-06,2027-08-03,191,115,76,Nearing Completion
247,12,4,Borde Residency,Residential,2021-12-13,2025-06-02,444,326,118,Completed
248,38,57,Rege Enclave,Mixed-Use,2021-06-29,2022-08-19,194,117,77,Completed
249,1,1,Singhal Heights,Residential,2023-02-10,2025-07-05,230,199,31,Completed
250,12,63,Kata Residency,Residential,2022-03-27,2025-11-27,282,203,79,Nearing Completion
251,5,7,Mandal Meadows,Residential,2022-03-20,2025-03-28,104,82,22,Completed
252,3,74,Setty Greens,Mixed-Use,2024-07-01,2025-07-05,133,97,36,Under Construction
253,26,46,Kaur Residency,Residential,2021-01-09,2022-11-09,112,104,8,Completed
254,1,24,Hora Greens,Residential,2025-09-18,2028-08-23,66,59,7,Under Construction
255,7,72,Kar Towers,Residential,2022-12-21,2026-07-26,306,278,28,Under Construction
256,15,11,Lata Greens,Residential,2024-03-12,2027-06-30,273,180,93,Completed
257,7,59,Bora Meadows,Residential,2025-03-06,2027-04-16,527,504,23,Completed
258,25,43,Mohanty Vista,Residential,2020-12-16,2022-11-04,116,114,2,Completed
259,8,81,Mani Residency,Mixed-Use,2023-11-27,2027-10-29,69,53,16,Under Construction
260,25,45,Sidhu Enclave,Mixed-Use,2023-01-18,2025-02-23,72,71,1,Completed
261,40,37,Rau Heights,Residential,2024-06-02,2025-09-19,425,349,76,Under Construction
262,11,1,Tella Vista,Residential,2025-10-25,2028-01-20,316,246,70,Nearing Completion
263,7,47,Sarma Vista,Mixed-Use,2023-08-08,2025-05-26,445,440,5,Completed
264,34,7,Baral Towers,Residential,2021-01-27,2023-08-20,586,465,121,Under Construction
265,8,74,Naidu Greens,Residential,2025-07-10,2027-09-01,245,191,54,Completed
266,19,35,Bal Meadows,Residential,2023-12-14,2025-08-14,399,288,111,Under Construction
267,36,24,Bail Residency,Residential,2021-02-18,2024-01-26,585,448,137,Under Construction
268,9,35,Luthra Greens,Residential,2026-02-17,2027-08-02,543,467,76,Under Construction
269,5,32,Gill Heights,Villa Community,2023-10-20,2026-04-02,458,320,138,Under Construction
270,38,29,Sathe Towers,Villa Community,2023-03-22,2025-10-23,404,315,89,Under Construction
271,17,58,Golla Heights,Mixed-Use,2025-09-02,2027-10-07,166,112,54,Under Construction
272,31,74,Sarin Meadows,Residential,2026-02-11,2027-12-10,589,450,139,Completed
273,2,32,Swamy Meadows,Residential,2024-02-15,2025-11-25,233,184,49,Under Construction
274,39,38,Singhal Heights,Residential,2025-12-17,2029-01-10,426,330,96,Completed
275,12,8,Nath Vista,Residential,2022-07-19,2024-11-20,115,94,21,Nearing Completion
276,37,84,Cheema Enclave,Mixed-Use,2022-05-26,2026-04-13,387,322,65,Completed
277,29,5,Narayan Towers,Residential,2025-05-08,2027-12-27,282,164,118,Under Construction
278,5,8,Tandon Vista,Residential,2022-11-23,2026-11-16,335,248,87,Nearing Completion
279,17,53,Rattan Towers,Residential,2022-03-21,2023-10-22,572,447,125,Nearing Completion
280,18,50,Bansal Heights,Villa Community,2025-02-08,2026-08-19,159,117,42,Under Construction
281,25,17,Murty Vista,Residential,2023-02-18,2026-07-04,548,503,45,Nearing Completion
282,13,42,D’Alia Enclave,Residential,2022-01-08,2025-05-03,213,171,42,Completed
283,37,64,Raval Residency,Mixed-Use,2025-12-20,2027-06-16,356,291,65,Completed
284,7,17,Agarwal Vista,Residential,2025-05-22,2027-07-08,349,345,4,Under Construction
285,22,62,Shere Greens,Residential,2024-04-01,2026-03-19,514,386,128,Completed
286,15,30,Guha Meadows,Residential,2022-11-27,2026-08-02,40,33,7,Under Construction
287,30,31,Tara Greens,Residential,2023-06-26,2027-03-28,596,417,179,Under Construction
288,21,59,Behl Residency,Mixed-Use,2024-01-27,2026-05-27,194,135,59,Under Construction
289,3,72,Deep Heights,Mixed-Use,2021-10-01,2024-06-09,240,164,76,Nearing Completion
290,10,63,Sarma Residency,Residential,2025-09-25,2026-10-25,510,492,18,Under Construction
291,26,66,Sundaram Towers,Residential,2025-06-23,2026-12-31,525,385,140,Under Construction
292,23,35,Khatri Vista,Mixed-Use,2021-04-19,2024-10-24,120,118,2,Nearing Completion
293,15,7,Mukhopadhyay Vista,Residential,2024-07-14,2028-03-17,274,213,61,Under Construction
294,4,88,Reddy Vista,Residential,2023-08-30,2025-06-04,205,174,31,Completed
295,13,31,Comar Vista,Mixed-Use,2021-02-22,2023-03-27,205,154,51,Nearing Completion
296,19,67,Dalal Heights,Mixed-Use,2023-03-04,2025-03-01,428,404,24,Completed
297,21,55,Dube Vista,Residential,2024-03-12,2026-08-01,65,57,8,Completed
298,1,10,Manne Enclave,Residential,2023-05-17,2024-05-16,273,230,43,Completed
299,34,45,Mahajan Towers,Residential,2023-06-07,2025-01-11,154,121,33,Under Construction
300,16,18,Subramanian Meadows,Residential,2022-12-01,2024-11-04,449,322,127,Nearing Completion
301,3,23,Kohli Towers,Residential,2026-01-09,2028-04-15,209,197,12,Under Construction
302,30,43,Dhillon Meadows,Villa Community,2023-02-22,2025-02-24,599,436,163,Completed
303,40,75,Trivedi Vista,Mixed-Use,2022-09-28,2024-12-01,370,261,109,Under Construction
304,22,43,Deshpande Residency,Villa Community,2024-09-26,2026-07-17,329,255,74,Under Construction
305,13,17,Majumdar Greens,Residential,2025-05-20,2027-03-06,376,332,44,Completed
306,27,3,Sachdeva Residency,Villa Community,2024-11-18,2028-01-02,136,85,51,Nearing Completion
307,39,42,Tripathi Vista,Residential,2022-07-02,2025-08-03,440,379,61,Nearing Completion
308,36,81,Agate Residency,Residential,2022-02-06,2024-02-18,57,41,16,Under Construction
309,11,69,Misra Meadows,Residential,2022-03-10,2024-03-11,587,501,86,Completed
310,35,71,Suri Heights,Residential,2025-03-28,2027-11-19,214,178,36,Completed
311,10,45,Sekhon Meadows,Residential,2025-05-23,2028-08-04,255,213,42,Completed
