document_id,source,title,content,source_type,confidence,as_of,created_at,chunk_id,evidence_id,city,locality,topic
22,Internal Research,"Policy/Regulatory Note — Patil Enclave, Delhi NCR","Policy/Regulatory Note for Patil Enclave, Delhi NCR: connectivity score 68.5, infrastructure score 73.9, development score 63.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2026-02-17,2026-09-04T04:21:17+00:00,0,ev_22_0,Delhi NCR,Patil Enclave,Policy/Regulatory Note
23,News,"Policy/Regulatory Note — Patil Enclave, Delhi NCR","Policy/Regulatory Note for Patil Enclave, Delhi NCR: connectivity score 68.5, infrastructure score 73.9, development score 63.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2024-10-10,2026-09-04T04:21:17+00:00,0,ev_23_0,Delhi NCR,Patil Enclave,Policy/Regulatory Note
24,Internal Research,"Investment Memo — Patil Enclave, Delhi NCR","Investment Memo for Patil Enclave, Delhi NCR: connectivity score 68.5, infrastructure score 73.9, development score 63.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-08-04,2026-09-04T04:21:17+00:00,0,ev_24_0,Delhi NCR,Patil Enclave,Investment Memo
25,Market Report,"Policy/Regulatory Note — Dutta Extension, Mumbai","Policy/Regulatory Note for Dutta Extension, Mumbai: connectivity score 59.1, infrastructure score 54.8, development score 51.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2026-07-21,2026-09-04T04:21:17+00:00,0,ev_25_0,Mumbai,Dutta Extension,Policy/Regulatory Note
26,Developer Filing,"Market Outlook — Dutta Extension, Mumbai","Market Outlook for Dutta Extension, Mumbai: connectivity score 59.1, infrastructure score 54.8, development score 51.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-03-30,2026-09-04T04:21:17+00:00,0,ev_26_0,Mumbai,Dutta Extension,Market Outlook
27,News,"Policy/Regulatory Note — Dutta Extension, Mumbai","Policy/Regulatory Note for Dutta Extension, Mumbai: connectivity score 59.1, infrastructure score 54.8, development score 51.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2024-11-09,2026-09-04T04:21:17+00:00,0,ev_27_0,Mumbai,Dutta Extension,Policy/Regulatory Note
28,News,"Infrastructure Update — Pathak Enclave, Pune","Infrastructure Update for Pathak Enclave, Pune: connectivity score 28.2, infrastructure score 43.8, development score 48.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2026-07-21,2026-09-04T04:21:17+00:00,0,ev_28_0,Pune,Pathak Enclave,Infrastructure Update
29,Internal Research,"Infrastructure Update — Pathak Enclave, Pune","Infrastructure Update for Pathak Enclave, Pune: connectivity score 28.2, infrastructure score 43.8, development score 48.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2026-05-15,2026-09-04T04:21:17+00:00,0,ev_29_0,Pune,Pathak Enclave,Infrastructure Update
30,Market Report,"Developer Report — Pathak Enclave, Pune","Developer Report for Pathak Enclave, Pune: connectivity score 28.2, infrastructure score 43.8, development score 48.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2026-04-25,2026-09-04T04:21:17+00:00,0,ev_30_0,Pune,Pathak Enclave,Developer Report
31,News,"Investment Memo — Amble Hills, Chennai","Investment Memo for Amble Hills, Chennai: connectivity score 33.8, infrastructure score 90.5, development score 62.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-05-04,2026-09-04T04:21:17+00:00,0,ev_31_0,Chennai,Amble Hills,Investment Memo
32,Market Report,"Market Outlook — Amble Hills, Chennai","Market Outlook for Amble Hills, Chennai: connectivity score 33.8, infrastructure score 90.5, development score 62.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2024-12-07,2026-09-04T04:21:17+00:00,0,ev_32_0,Chennai,Amble Hills,Market Outlook
33,Internal Research,"Developer Report — Amble Hills, Chennai","Developer Report for Amble Hills, Chennai: connectivity score 33.8, infrastructure score 90.5, development score 62.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-09-29,2026-09-04T04:21:17+00:00,0,ev_33_0,Chennai,Amble Hills,Developer Report
34,News,"Locality Deep-Dive — Balay Layout, Pune","Locality Deep-Dive for Balay Layout, Pune: connectivity score 69.9, infrastructure score 57.7, development score 70.7. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-12-24,2026-09-04T04:21:17+00:00,0,ev_34_0,Pune,Balay Layout,Locality Deep-Dive
35,News,"Infrastructure Update — Balay Layout, Pune","Infrastructure Update for Balay Layout, Pune: connectivity score 69.9, infrastructure score 57.7, development score 70.7. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-01-10,2026-09-04T04:21:17+00:00,0,ev_35_0,Pune,Balay Layout,Infrastructure Update
36,Market Report,"Locality Deep-Dive — Balay Layout, Pune","Locality Deep-Dive for Balay Layout, Pune: connectivity score 69.9, infrastructure score 57.7, development score 70.7. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2025-09-27,2026-09-04T04:21:17+00:00,0,ev_36_0,Pune,Balay Layout,Locality Deep-Dive
37,Internal Research,"Developer Report — Dugar Layout, Hyderabad","Developer Report for Dugar Layout, Hyderabad: connectivity score 59.2, infrastructure score 48.0, development score 57.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-07-09,2026-09-04T04:21:17+00:00,0,ev_37_0,Hyderabad,Dugar Layout,Developer Report
38,Developer Filing,"Market Outlook — Dugar Layout, Hyderabad","Market Outlook for Dugar Layout, Hyderabad: connectivity score 59.2, infrastructure score 48.0, development score 57.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-05-01,2026-09-04T04:21:17+00:00,0,ev_38_0,Hyderabad,Dugar Layout,Market Outlook
39,News,"Locality Deep-Dive — Dugar Layout, Hyderabad","Locality Deep-Dive for Dugar Layout, Hyderabad: connectivity score 59.2, infrastructure score 48.0, development score 57.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-11-12,2026-09-04T04:21:17+00:00,0,ev_39_0,Hyderabad,Dugar Layout,Locality Deep-Dive
40,Internal Research,"Investment Memo — Mallick Enclave, Chennai","Investment Memo for Mallick Enclave, Chennai: connectivity score 73.6, infrastructure score 28.4, development score 61.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2026-08-14,2026-09-04T04:21:17+00:00,0,ev_40_0,Chennai,Mallick Enclave,Investment Memo
41,Internal Research,"Investment Memo — Mallick Enclave, Chennai","Investment Memo for Mallick Enclave, Chennai: connectivity score 73.6, infrastructure score 28.4, development score 61.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-05-04,2026-09-04T04:21:17+00:00,0,ev_41_0,Chennai,Mallick Enclave,Investment Memo
42,Developer Filing,"Developer Report — Mallick Enclave, Chennai","Developer Report for Mallick Enclave, Chennai: connectivity score 73.6, infrastructure score 28.4, development score 61.9. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2024-12-29,2026-09-04T04:21:17+00:00,0,ev_42_0,Chennai,Mallick Enclave,Developer Report
43,Internal Research,"Investment Memo — Dugal Gardens, Mumbai","Investment Memo for Dugal Gardens, Mumbai: connectivity score 76.5, infrastructure score 39.3, development score 61.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-07-27,2026-09-04T04:21:17+00:00,0,ev_43_0,Mumbai,Dugal Gardens,Investment Memo
44,Developer Filing,"Investment Memo — Dugal Gardens, Mumbai","Investment Memo for Dugal Gardens, Mumbai: connectivity score 76.5, infrastructure score 39.3, development score 61.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-07-07,2026-09-04T04:21:17+00:00,0,ev_44_0,Mumbai,Dugal Gardens,Investment Memo
45,Developer Filing,"Locality Deep-Dive — Dugal Gardens, Mumbai","Locality Deep-Dive for Dugal Gardens, Mumbai: connectivity score 76.5, infrastructure score 39.3, development score 61.6. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2026-07-29,2026-09-04T04:21:17+00:00,0,ev_45_0,Mumbai,Dugal Gardens,Locality Deep-Dive
46,News,"Developer Report — Balay Hills, Mumbai","Developer Report for Balay Hills, Mumbai: connectivity score 48.0, infrastructure score 62.4, development score 66.9. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-12-18,2026-09-04T04:21:17+00:00,0,ev_46_0,Mumbai,Balay Hills,Developer Report
47,News,"Policy/Regulatory Note — Balay Hills, Mumbai","Policy/Regulatory Note for Balay Hills, Mumbai: connectivity score 48.0, infrastructure score 62.4, development score 66.9. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-09-27,2026-09-04T04:21:17+00:00,0,ev_47_0,Mumbai,Balay Hills,Policy/Regulatory Note
48,Developer Filing,"Developer Report — Balay Hills, Mumbai","Developer Report for Balay Hills, Mumbai: connectivity score 48.0, infrastructure score 62.4, development score 66.9. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2026-08-06,2026-09-04T04:21:17+00:00,0,ev_48_0,Mumbai,Balay Hills,Developer Report
49,Developer Filing,"Market Outlook — Yadav Hills, Bengaluru","Market Outlook for Yadav Hills, Bengaluru: connectivity score 44.5, infrastructure score 46.1, development score 61.8. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2024-12-19,2026-09-04T04:21:17+00:00,0,ev_49_0,Bengaluru,Yadav Hills,Market Outlook
50,News,"Infrastructure Update — Yadav Hills, Bengaluru","Infrastructure Update for Yadav Hills, Bengaluru: connectivity score 44.5, infrastructure score 46.1, development score 61.8. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-11-28,2026-09-04T04:21:17+00:00,0,ev_50_0,Bengaluru,Yadav Hills,Infrastructure Update
51,Developer Filing,"Infrastructure Update — Yadav Hills, Bengaluru","Infrastructure Update for Yadav Hills, Bengaluru: connectivity score 44.5, infrastructure score 46.1, development score 61.8. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2026-05-16,2026-09-04T04:21:17+00:00,0,ev_51_0,Bengaluru,Yadav Hills,Infrastructure Update
52,Developer Filing,"Policy/Regulatory Note — Pant Layout, Bengaluru","Policy/Regulatory Note for Pant Layout, Bengaluru: connectivity score 61.4, infrastructure score 93.7, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2026-02-13,2026-09-04T04:21:17+00:00,0,ev_52_0,Bengaluru,Pant Layout,Policy/Regulatory Note
53,News,"Locality Deep-Dive — Pant Layout, Bengaluru","Locality Deep-Dive for Pant Layout, Bengaluru: connectivity score 61.4, infrastructure score 93.7, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-07-16,2026-09-04T04:21:17+00:00,0,ev_53_0,Bengaluru,Pant Layout,Locality Deep-Dive
54,Market Report,"Locality Deep-Dive — Pant Layout, Bengaluru","Locality Deep-Dive for Pant Layout, Bengaluru: connectivity score 61.4, infrastructure score 93.7, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2025-01-14,2026-09-04T04:21:17+00:00,0,ev_54_0,Bengaluru,Pant Layout,Locality Deep-Dive
55,News,"Investment Memo — Bhatt Layout, Hyderabad","Investment Memo for Bhatt Layout, Hyderabad: connectivity score 39.4, infrastructure score 59.0, development score 46.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2026-01-17,2026-09-04T04:21:17+00:00,0,ev_55_0,Hyderabad,Bhatt Layout,Investment Memo
56,Internal Research,"Market Outlook — Bhatt Layout, Hyderabad","Market Outlook for Bhatt Layout, Hyderabad: connectivity score 39.4, infrastructure score 59.0, development score 46.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2024-12-05,2026-09-04T04:21:17+00:00,0,ev_56_0,Hyderabad,Bhatt Layout,Market Outlook
57,Developer Filing,"Infrastructure Update — Bhatt Layout, Hyderabad","Infrastructure Update for Bhatt Layout, Hyderabad: connectivity score 39.4, infrastructure score 59.0, development score 46.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-04-07,2026-09-04T04:21:17+00:00,0,ev_57_0,Hyderabad,Bhatt Layout,Infrastructure Update
58,Market Report,"Policy/Regulatory Note — Edwin Nagar, Delhi NCR","Policy/Regulatory Note for Edwin Nagar, Delhi NCR: connectivity score 67.5, infrastructure score 61.6, development score 65.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2025-06-30,2026-09-04T04:21:17+00:00,0,ev_58_0,Delhi NCR,Edwin Nagar,Policy/Regulatory Note
59,Developer Filing,"Policy/Regulatory Note — Edwin Nagar, Delhi NCR","Policy/Regulatory Note for Edwin Nagar, Delhi NCR: connectivity score 67.5, infrastructure score 61.6, development score 65.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-09-07,2026-09-04T04:21:17+00:00,0,ev_59_0,Delhi NCR,Edwin Nagar,Policy/Regulatory Note
60,News,"Market Outlook — Edwin Nagar, Delhi NCR","Market Outlook for Edwin Nagar, Delhi NCR: connectivity score 67.5, infrastructure score 61.6, development score 65.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-07-15,2026-09-04T04:21:17+00:00,0,ev_60_0,Delhi NCR,Edwin Nagar,Market Outlook
61,Internal Research,"Policy/Regulatory Note — Kakar Extension, Delhi NCR","Policy/Regulatory Note for Kakar Extension, Delhi NCR: connectivity score 61.3, infrastructure score 55.1, development score 56.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2026-05-12,2026-09-04T04:21:17+00:00,0,ev_61_0,Delhi NCR,Kakar Extension,Policy/Regulatory Note
62,Internal Research,"Locality Deep-Dive — Kakar Extension, Delhi NCR","Locality Deep-Dive for Kakar Extension, Delhi NCR: connectivity score 61.3, infrastructure score 55.1, development score 56.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2024-10-02,2026-09-04T04:21:17+00:00,0,ev_62_0,Delhi NCR,Kakar Extension,Locality Deep-Dive
63,Internal Research,"Infrastructure Update — Kakar Extension, Delhi NCR","Infrastructure Update for Kakar Extension, Delhi NCR: connectivity score 61.3, infrastructure score 55.1, development score 56.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-04-05,2026-09-04T04:21:17+00:00,0,ev_63_0,Delhi NCR,Kakar Extension,Infrastructure Update
64,News,"Developer Report — Biswas Nagar, Delhi NCR","Developer Report for Biswas Nagar, Delhi NCR: connectivity score 69.2, infrastructure score 39.7, development score 67.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2026-03-29,2026-09-04T04:21:17+00:00,0,ev_64_0,Delhi NCR,Biswas Nagar,Developer Report
65,Developer Filing,"Policy/Regulatory Note — Biswas Nagar, Delhi NCR","Policy/Regulatory Note for Biswas Nagar, Delhi NCR: connectivity score 69.2, infrastructure score 39.7, development score 67.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2026-03-09,2026-09-04T04:21:17+00:00,0,ev_65_0,Delhi NCR,Biswas Nagar,Policy/Regulatory Note
66,News,"Policy/Regulatory Note — Biswas Nagar, Delhi NCR","Policy/Regulatory Note for Biswas Nagar, Delhi NCR: connectivity score 69.2, infrastructure score 39.7, development score 67.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-05-06,2026-09-04T04:21:17+00:00,0,ev_66_0,Delhi NCR,Biswas Nagar,Policy/Regulatory Note
67,Market Report,"Investment Memo — Varughese Nagar, Chennai","Investment Memo for Varughese Nagar, Chennai: connectivity score 85.8, infrastructure score 12.1, development score 45.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2026-07-23,2026-09-04T04:21:17+00:00,0,ev_67_0,Chennai,Varughese Nagar,Investment Memo
68,News,"Infrastructure Update — Varughese Nagar, Chennai","Infrastructure Update for Varughese Nagar, Chennai: connectivity score 85.8, infrastructure score 12.1, development score 45.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2024-10-04,2026-09-04T04:21:17+00:00,0,ev_68_0,Chennai,Varughese Nagar,Infrastructure Update
69,Developer Filing,"Policy/Regulatory Note — Varughese Nagar, Chennai","Policy/Regulatory Note for Varughese Nagar, Chennai: connectivity score 85.8, infrastructure score 12.1, development score 45.7. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2024-10-08,2026-09-04T04:21:17+00:00,0,ev_69_0,Chennai,Varughese Nagar,Policy/Regulatory Note
70,News,"Investment Memo — Garg Enclave, Pune","Investment Memo for Garg Enclave, Pune: connectivity score 62.0, infrastructure score 61.1, development score 62.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2026-07-12,2026-09-04T04:21:17+00:00,0,ev_70_0,Pune,Garg Enclave,Investment Memo
71,News,"Policy/Regulatory Note — Garg Enclave, Pune","Policy/Regulatory Note for Garg Enclave, Pune: connectivity score 62.0, infrastructure score 61.1, development score 62.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2025-09-18,2026-09-04T04:21:17+00:00,0,ev_71_0,Pune,Garg Enclave,Policy/Regulatory Note
72,Developer Filing,"Infrastructure Update — Garg Enclave, Pune","Infrastructure Update for Garg Enclave, Pune: connectivity score 62.0, infrastructure score 61.1, development score 62.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2026-01-28,2026-09-04T04:21:17+00:00,0,ev_72_0,Pune,Garg Enclave,Infrastructure Update
73,Internal Research,"Infrastructure Update — Kanda Gardens, Pune","Infrastructure Update for Kanda Gardens, Pune: connectivity score 76.2, infrastructure score 71.0, development score 71.3. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-07-06,2026-09-04T04:21:17+00:00,0,ev_73_0,Pune,Kanda Gardens,Infrastructure Update
74,Internal Research,"Infrastructure Update — Kanda Gardens, Pune","Infrastructure Update for Kanda Gardens, Pune: connectivity score 76.2, infrastructure score 71.0, development score 71.3. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-01-25,2026-09-04T04:21:17+00:00,0,ev_74_0,Pune,Kanda Gardens,Infrastructure Update
