query,filters,rank,evidence_id,lexical_score,semantic_score,hybrid_score,rerank_score,source,source_confidence,title
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},1,ev_47_0,3.1734,0.4141,0.9857,0.8399,News,0.6,"Policy/Regulatory Note — Balay Hills, Mumbai"
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},2,ev_25_0,3.1734,0.3962,0.8992,0.6931,Market Report,0.8,"Policy/Regulatory Note — Dutta Extension, Mumbai"
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},3,ev_52_0,3.1734,0.3934,0.8859,0.5865,Developer Filing,0.55,"Policy/Regulatory Note — Pant Layout, Bengaluru"
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},4,ev_27_0,3.1734,0.3962,0.8992,0.5684,News,0.6,"Policy/Regulatory Note — Dutta Extension, Mumbai"
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},5,ev_16_0,3.1734,0.387,0.8547,0.4495,News,0.6,"Policy/Regulatory Note — Setty Gardens, Bengaluru"
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},6,ev_109_0,3.1734,0.3862,0.8508,0.4484,Developer Filing,0.55,"Policy/Regulatory Note — Devi Extension, Hyderabad"
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},7,ev_91_0,3.1734,0.3768,0.8055,0.3804,Internal Research,0.85,"Policy/Regulatory Note — Mall Enclave, Mumbai"
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},8,ev_113_0,3.1734,0.3735,0.7899,0.2955,News,0.6,"Policy/Regulatory Note — Bhalla Nagar, Pune"
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},9,ev_71_0,3.1734,0.3707,0.7765,0.2886,News,0.6,"Policy/Regulatory Note — Garg Enclave, Pune"
policy regulatory outlook,{'topic': 'Policy/Regulatory Note'},10,ev_112_0,3.1734,0.3735,0.7899,0.2866,Developer Filing,0.55,"Policy/Regulatory Note — Bhalla Nagar, Pune"
investment memo outlook Mumbai,{'city': 'Mumbai'},1,ev_117_0,5.2863,0.542,0.9855,0.9179,Internal Research,0.85,"Investment Memo — Issac Layout, Mumbai"
investment memo outlook Mumbai,{'city': 'Mumbai'},2,ev_43_0,5.2863,0.5544,1.0,0.8897,Internal Research,0.85,"Investment Memo — Dugal Gardens, Mumbai"
investment memo outlook Mumbai,{'city': 'Mumbai'},3,ev_44_0,5.2863,0.5544,1.0,0.827,Developer Filing,0.55,"Investment Memo — Dugal Gardens, Mumbai"
investment memo outlook Mumbai,{'city': 'Mumbai'},4,ev_97_0,5.2863,0.5074,0.9453,0.7644,Developer Filing,0.55,"Investment Memo — Chander Gardens, Mumbai"
investment memo outlook Mumbai,{'city': 'Mumbai'},5,ev_14_0,3.3492,0.3324,0.5403,0.598,News,0.6,"Market Outlook — Bakshi Layout, Mumbai"
investment memo outlook Mumbai,{'city': 'Mumbai'},6,ev_77_0,3.3492,0.3201,0.526,0.5873,Internal Research,0.85,"Market Outlook — Oak Hills, Mumbai"
investment memo outlook Mumbai,{'city': 'Mumbai'},7,ev_26_0,3.3492,0.3284,0.5356,0.5294,Developer Filing,0.55,"Market Outlook — Dutta Extension, Mumbai"
investment memo outlook Mumbai,{'city': 'Mumbai'},8,ev_115_0,0.0,0.2032,0.0415,0.2921,Internal Research,0.85,"Infrastructure Update — Issac Layout, Mumbai"
investment memo outlook Mumbai,{'city': 'Mumbai'},9,ev_45_0,0.0,0.1794,0.0139,0.2799,Developer Filing,0.55,"Locality Deep-Dive — Dugal Gardens, Mumbai"
investment memo outlook Mumbai,{'city': 'Mumbai'},10,ev_78_0,0.0,0.1862,0.0217,0.206,Developer Filing,0.55,"Infrastructure Update — Oak Hills, Mumbai"
locality deep dive Hyderabad,{'city': 'Hyderabad'},1,ev_104_0,8.1661,0.6201,0.9787,0.9493,Internal Research,0.85,"Locality Deep-Dive — Choudhary Gardens, Hyderabad"
locality deep dive Hyderabad,{'city': 'Hyderabad'},2,ev_111_0,8.1661,0.6226,0.981,0.8966,Developer Filing,0.55,"Locality Deep-Dive — Devi Extension, Hyderabad"
locality deep dive Hyderabad,{'city': 'Hyderabad'},3,ev_39_0,8.1661,0.6441,1.0,0.8795,News,0.6,"Locality Deep-Dive — Dugar Layout, Hyderabad"
locality deep dive Hyderabad,{'city': 'Hyderabad'},4,ev_105_0,2.07,0.1847,0.0454,0.3369,Internal Research,0.85,"Market Outlook — Choudhary Gardens, Hyderabad"
locality deep dive Hyderabad,{'city': 'Hyderabad'},5,ev_103_0,2.07,0.1788,0.0402,0.3108,Market Report,0.8,"Investment Memo — Choudhary Gardens, Hyderabad"
locality deep dive Hyderabad,{'city': 'Hyderabad'},6,ev_37_0,2.07,0.1921,0.052,0.3049,Internal Research,0.85,"Developer Report — Dugar Layout, Hyderabad"
locality deep dive Hyderabad,{'city': 'Hyderabad'},7,ev_110_0,2.07,0.1962,0.0556,0.2672,News,0.6,"Investment Memo — Devi Extension, Hyderabad"
locality deep dive Hyderabad,{'city': 'Hyderabad'},8,ev_38_0,2.07,0.1949,0.0544,0.2368,Developer Filing,0.55,"Market Outlook — Dugar Layout, Hyderabad"
locality deep dive Hyderabad,{'city': 'Hyderabad'},9,ev_109_0,2.0415,0.1894,0.047,0.2262,Developer Filing,0.55,"Policy/Regulatory Note — Devi Extension, Hyderabad"
locality deep dive Hyderabad,{'city': 'Hyderabad'},10,ev_57_0,2.07,0.1566,0.0206,0.2145,Developer Filing,0.55,"Infrastructure Update — Bhatt Layout, Hyderabad"
